Date,Time,Employee ID,Employee name,Rank
2022-12-11,08:10:57.261515,4567,asdf,Senior
2022-12-11,08:10:57.262512,5555,asdf,Manager
2022-12-11,08:10:57.262512,4444,Michal,Manager
2022-12-11,08:10:57.263509,1112,Lavi Moses,Junior
2022-12-11,08:10:57.263509,1113,Yarden,Senior
2022-12-11,08:10:57.264506,1114,Ofer,Senior
2022-12-11,08:10:57.264506,1115,Someone,Senior
2022-12-11,08:10:57.265502,1116,That guy,something
2022-12-11,08:10:57.265502,1118,Nane,Manager
2022-12-11,08:10:57.266505,1117,Abmer,Senior
2022-12-11,08:10:57.266505,1119,Gimel,Junior
2022-12-11,08:10:57.267495,1121,Michal,Senior
2022-12-11,08:10:57.268496,1122,Michal,Senior
2022-12-11,08:10:57.268496,1123,Ofer,Manager
2022-12-11,08:10:57.268496,1124,ABCDEF,Senior
2022-12-11,08:10:57.269490,4561,Tha,Junior
2022-12-11,08:10:57.269490,1126,Moshe,Manager
2022-12-11,08:10:57.270487,1129,Chicken,Senior
2022-12-11,08:10:57.270487,1128,Hama,Senior
2022-12-11,08:10:57.270487,1130,Lavi,Senior
2022-12-11,08:10:57.271483,1131,Ofer,Senior
2022-12-11,08:10:57.271483,1135,Tech,Manager
2022-12-11,08:10:57.272479,2000,A,Junior
2022-12-11,08:10:57.273445,1140,A,Senior
2022-12-11,08:10:57.273445,1142,A,Senior
2022-12-11,08:10:57.274468,1143,A,Senior
2022-12-11,08:10:57.274468,1144,A,Senior
2022-12-11,08:10:57.274468,1145,A,Senior
2022-12-11,08:10:57.275466,2001,sdf,Junior
2022-12-11,08:10:57.275466,2002,sdf,Junior
2022-12-11,08:10:57.276462,5556,M,Senior
2022-12-11,08:10:57.276462,1111,A,Senior
2022-12-11,08:10:57.276462,9876,michal,Senior
2022-12-11,08:10:57.277461,8765,asdf,Manager
2022-12-11,08:10:57.277461,7654,someone,Junior
2022-12-11,09:22:32.567980,1111,A,Senior
2022-12-15,12:26:34.796336,4567,asdf,Senior
2022-12-15,12:26:34.797299,5555,asdf,Manager
2022-12-15,12:26:34.797299,4444,Michal,Manager
2022-12-15,12:26:34.797299,1113,Yarden,Senior
2022-12-15,12:26:34.798311,1114,Ofer,Senior
2022-12-15,12:26:34.798311,1115,Someone,Senior
2022-12-15,12:26:34.798311,1116,That guy,something
2022-12-15,12:26:34.799285,1118,Nane,Manager
2022-12-15,12:26:34.799285,1117,Abmer,Senior
2022-12-15,12:26:34.799285,1119,Gimel,Junior
2022-12-15,12:26:34.800544,1121,Michal,Senior
2022-12-15,12:26:34.800649,1122,Michal,Senior
2022-12-15,12:26:34.800649,1123,Ofer,Manager
2022-12-15,12:26:34.801675,1124,ABCDEF,Senior
2022-12-15,12:26:34.801675,4561,Tha,Junior
2022-12-15,12:26:34.802661,1126,Moshe,Manager
2022-12-15,12:26:34.802661,1129,Chicken,Senior
2022-12-15,12:26:34.803678,1128,Hama,Senior
2022-12-15,12:26:34.803678,1130,Lavi,Senior
