Employee ID,Employee name,Employee Phone number,Employee DOB,Rank,Subs,Manager
4567,asdf,999-9999999,99/99/9999,Senior,,
5555,asdf,999-9999999,2022-11-21,Manager,"['1324', '1234', '1111', '1111', '1111']",
4444,Michal,555-5555555,2022-12-11,Manager,['1234'],
1113,Yarden,054-8888888,2017-05-09,Senior,,
1114,Ofer,054-9999999,2019-10-03,Senior,,
1115,Someone,054-5555555,2022-12-04,Senior,,
1116,That guy,054-9999999,2022-10-04,something,,
1118,Nane,054-9999999,2022-03-03,Manager,[],
1117,Abmer,054-9999999,2010-10-10,Senior,,
1119,Gimel,054-9999999,2022-10-10,Junior,,
1121,Michal,054-9999999,1111-11-11,Senior,,
1122,Michal,999-9999999,2011-11-11,Senior,,
1123,Ofer,999-9999999,1111-11-11,Manager,[],
1124,ABCDEF,999-9999999,2222-02-02,Senior,,
4561,Tha,999-9999999,2022-02-02,Junior,,
1126,Moshe,999-9999999,2022-10-20,Manager,[],
1129,Chicken,999-9999999,2022-11-11,Senior,,
1128,Hama,999-9999999,2022-01-01,Senior,,
1130,Lavi,999-9999999,2015-12-07,Senior,,
1131,Ofer,999-9999999,2022-12-08,Senior,,
1135,Tech,999-9999999,2022-10-10,Manager,[],
2000,A,999-9999999,2022-10-10,Junior,,
1140,A,999-9999999,2022-10-10,Senior,,
1142,A,999-9999999,2022-10-10,Senior,,
1143,A,054-9999999,2022-10-10,Senior,,
1144,A,054-9999999,2022-10-10,Senior,,
1145,A,054-9999999,2022-10-10,Senior,,
2001,sdf,999-9999999,2022-10-10,Junior,,
2002,sdf,999-9999999,2022-10-10,Junior,,
5556,M,999-9999999,2022-11-11,Senior,,
1234,Michal,058-9999999,2022-10-10,Senior,,
2223,ABS,999-9999999,2022-10-10,Junior,,
2224,A,999-9999999,2022-10-10,Junior,,
1111,A,999-9999999,2022-10-10,Junior,,
9876,michal,888-8888888,2022-11-21,Senior,,
8765,asdf,999-9999999,2022-11-21,Manager,['1234'],
7654,someone,888-8888888,2022-11-21,Junior,,
